ASX_code, Company_name, Listing_date, GICs_industry_group, Market_CapAHY,ASALEO CARE LIMITED,Not provided,Consumer Durables & Apparel,
NNG,NEXION GROUP LTD,18/02/2021,Software & Services,20589290
AWJ,AURIC MINING LIMITED,12/02/2021,Materials,13962649
SHG,SINGULAR HEALTH GROUP LTD,12/02/2021,Health Care Equipment & Services,32895637
BEX,BIKEEXCHANGE LIMITED,9/02/2021,Software & Services,68121548
OZM,OZAURUM RESOURCES LIMITED,8/02/2021,Materials,14312500
M24,MAMBA EXPLORATION LIMITED,5/02/2021,Materials,12806501
5GG,PENTANET LIMITED,29/01/2021,Telecommunication Services,204884411
AGC,AUSTRALIAN GOLD AND COPPER LTD,20/01/2021,Materials,14500000
CHM,CHIMERIC THERAPEUTICS LIMITED,18/01/2021,Pharmaceuticals, Biotechnology & Life Sciences,107529408
FLX,FELIX GROUP HOLDINGS LTD,12/01/2021,Software & Services,35879136
TRN,TORRENS MINING LIMITED,7/01/2021,Materials,29497432
TRU,TRUSCREEN GROUP LIMITED,6/01/2021,Health Care Equipment & Services,25037771
BPM,BPM MINERALS LIMITED,30/12/2020,Materials,18125825
BNZ,BENZ MINING CORP.,23/12/2020,Materials,79391005
PYR,PAYRIGHT LIMITED,23/12/2020,Diversified Financials,44995995
RCR,RINCON RESOURCES LIMITED,21/12/2020,Materials,13347557
CTT,CETTIRE LIMITED,18/12/2020,Retailing,1056029869
DM1,DESERT METALS LIMITED,18/12/2020,Materials,34650000
PLY,PLAYSIDE STUDIOS LIMITED,17/12/2020,Media & Entertainment,102627896
WSR,WESTAR RESOURCES LIMITED,17/12/2020,Materials,9576788
AKO,AKORA RESOURCES LIMITED,15/12/2020,Materials,15564364
LFG,LIBERTY FINANCIAL GROUP,15/12/2020,Banks,2368080000
SLA,SILK LASER AUSTRALIA LIMITED,15/12/2020,Health Care Equipment & Services,227255414
ERW,ERRAWARRA RESOURCES LTD,14/12/2020,Materials,9175444
GNP,GENUSPLUS GROUP LTD,14/12/2020,Capital Goods,143142767
LV1,LIVE VERDURE LTD,14/12/2020,Food, Beverage & Tobacco,10496987
SOV,SOVEREIGN CLOUD HOLDINGS LIMITED,14/12/2020,Software & Services,67698804
KFM,KINGFISHER MINING LTD,11/12/2020,Materials,7816250
TSI,TOP SHELF INTERNATIONAL HOLDINGS LTD,10/12/2020,Food, Beverage & Tobacco,87495031
AUN,AURUMIN LIMITED,9/12/2020,Materials,16480680
CLU,CLUEY LTD,9/12/2020,Consumer Services,138094523
DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,8/12/2020,Transportation,1041867976
YFZ,YOUFOODZ HOLDINGS LIMITED,8/12/2020,Food, Beverage & Tobacco,68619209
CBL,CONTROL BIONICS LIMITED,7/12/2020,Health Care Equipment & Services,58042423
DOC,DOCTOR CARE ANYWHERE GROUP PLC,4/12/2020,Health Care Equipment & Services,278998216
MGH,MAAS GROUP HOLDINGS LIMITED,4/12/2020,Capital Goods,1494298915
NXL,NUIX LIMITED,4/12/2020,Software & Services,739343470
PRS,PROSPECH LIMITED.,4/12/2020,Materials,12361803
BKG,BOOKTOPIA GROUP LIMITED,3/12/2020,Retailing,357134177
CRW,CASHREWARDS LIMITED,2/12/2020,Media & Entertainment,73300078
HXL,HEXIMA LIMITED.,1/12/2020,Pharmaceuticals, Biotechnology & Life Sciences,22245813
MGF,MAGELLAN GLOBAL FUND.,30/11/2020,Investment Trust/Fund,3079442459
WAK,WA KAOLIN LIMITED,26/11/2020,Materials,59392596
CPN,CASPIN RESOURCES LIMITED,25/11/2020,Materials,116335540
PX1,PLEXURE GROUP LIMITED,25/11/2020,Software & Services,107536124
HDN,HOMECO DAILY NEEDS REIT,23/11/2020,Real Estate,983173215
HMY,HARMONEY CORP LIMITED,19/11/2020,Diversified Financials,163983177
MHK,METAL HAWK LIMITED.,19/11/2020,Materials,10630688
NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,16/11/2020,Materials,22175010
UNI,UNIVERSAL STORE HOLDINGS LIMITED,16/11/2020,Retailing,556288354
HPG,HIPAGES GROUP HOLDINGS LTD,12/11/2020,Media & Entertainment,390092106
DC2,DC TWO LIMITED,10/11/2020,Software & Services,16672500
DEX,DUKE EXPLORATION LIMITED,10/11/2020,Materials,32574771
DUR,DURATEC LIMITED,4/11/2020,Capital Goods,94977920
PF1,PATHFINDER RESOURCES LTD,4/11/2020,Materials,19709175
DSK,DUSK GROUP LIMITED,2/11/2020,Retailing,230391101
NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,30/10/2020,Household & Personal Products,24152146
COD,CODA MINERALS LTD,28/10/2020,Materials,128563847
